State,Load,Ifetch,Store,Load_Linked,SPMCP_fetch,SPMCP_install,SPMLD,SPMST,SPMWB_read,SPMWB_store,SPM_release,SPM_Data,SPM_Ack,Replacement,InvOwn/InvElse,Fwd-GetS/GetInstr,Fwd-GetX,Data,Data_Exclusive,Data_Stale,Ack,WB-Ack,Flush,Flush_Ack,LLSC_Timeout
I,Allocate D-cache block/TBE; send GETS to Ruby L1 /IS,Allocate I-cache block/TBE; send GETS to Ruby L1 /Inst_IS,Allocate D-cache block/TBE; send GETX to Ruby L1 /IM,Allocate D-cache block/TBE; mark LL; send GETX /IS,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,No-op/stall not needed,"Forward eviction to CPU, send InvAck (stay I)",,,,,,,,,,
S,Hit,Hit,Allocate TBE; send UPGRADE to Ruby L1 /SM,Allocate TBE; mark LL; send UPGRADE /SM,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,"Forward eviction to CPU, deallocate /I","Forward eviction to CPU, send InvAck, deallocate /I",,,,,,,,,,
E,Hit,Hit,Hit /M,Hit; schedule LL/SC lock timeout /LLSC_E,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,Forward eviction to CPU; send PUTX to Ruby L1; deallocate /I,"Forward eviction to CPU, send InvAck, deallocate /I",Send data to Ruby L1 /S,"Forward eviction to CPU, send InvAck, deallocate /I",,,,,,,,
M,Hit,Hit,Hit,Hit; schedule LL/SC lock timeout /LLSC_M,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,Forward eviction to CPU; send PUTX+data to Ruby L1; deallocate /I,"Forward eviction to CPU, send data to Ruby L1, deallocate /I",Send data to Ruby L1 /S,"Forward eviction to CPU, send data to Ruby L1, deallocate /I",,,,,,,,
IS,Stall,,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,"Forward eviction to CPU, send InvAck (stay)",Stall,Stall,"Write data, satisfy load, deallocate TBE /S","Write data, satisfy load, deallocate TBE /E","Write stale data, forward eviction to CPU, deallocate /I",,,,,
Inst_IS,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,"Forward eviction to CPU, send InvAck (stay)",Stall,Stall,"Write I-cache data, satisfy ifetch, deallocate TBE /S","Write I-cache data, satisfy ifetch, deallocate TBE /E","Write stale I-cache data, forward eviction to CPU, deallocate /I",,,,,
IM,Stall,,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,"Forward eviction to CPU, send InvAck (stay)",Stall,Stall,,"Write data, satisfy store, deallocate TBE /M",,Record ack; wait for data/all-acks,,,,
SM,Hit,,Stall,,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,"Forward eviction to CPU, send InvAck /IM",Stall,Stall,Write data /SM,"Write data, satisfy store, deallocate TBE /M",,Record ack; wait for all-acks,,,,
LLSC_E,Hit,Hit,Hit /LLSC_M,Hit,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,Stall,Stall,Stall,Stall,,,,,,,,Unset LL/SC timer /E
LLSC_M,Hit,Hit,Hit /LLSC_M,Hit,Forward bridge fetch to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM slot-claim/install to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward pure SPM load over dedicated L0->L1 SPM request buffer,Forward pure SPM store over dedicated L0->L1 SPM request buffer,Forward pure SPM writeback-source read over dedicated L0->L1 SPM request buffer,Forward bridge writeback store to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Forward SPM release to Ruby L1/private-L2 SPM over regular L0->L1 request buffer,Complete SPM read response to sequencer; pop dedicated SPM response queue,Complete SPM write/control response to sequencer; pop dedicated SPM response queue,Stall,Stall,Stall,Stall,,,,,,,,Unset LL/SC timer /M
